,MLII,V1
0 days 00:07:25.675542,-143,-114
0 days 00:07:25.678320,-145,-118
0 days 00:07:25.681098,-148,-119
0 days 00:07:25.683876,-149,-119
0 days 00:07:25.686654,-148,-118
0 days 00:07:25.689432,-148,-115
0 days 00:07:25.692210,-148,-114
0 days 00:07:25.694988,-144,-116
0 days 00:07:25.697766,-143,-118
0 days 00:07:25.700544,-139,-119
0 days 00:07:25.703322,-141,-119
0 days 00:07:25.706100,-141,-116
0 days 00:07:25.708878,-140,-117
0 days 00:07:25.711656,-145,-118
0 days 00:07:25.714434,-149,-117
0 days 00:07:25.717212,-147,-120
0 days 00:07:25.719990,-151,-120
0 days 00:07:25.722768,-149,-117
0 days 00:07:25.725546,-142,-116
0 days 00:07:25.728324,-141,-111
0 days 00:07:25.731102,-138,-108
0 days 00:07:25.733880,-139,-109
0 days 00:07:25.736658,-141,-115
0 days 00:07:25.739436,-141,-114
0 days 00:07:25.742214,-141,-117
0 days 00:07:25.744992,-143,-121
0 days 00:07:25.747770,-142,-120
0 days 00:07:25.750548,-142,-123
0 days 00:07:25.753326,-142,-124
0 days 00:07:25.756104,-144,-121
0 days 00:07:25.758882,-144,-119
0 days 00:07:25.761660,-143,-112
0 days 00:07:25.764438,-137,-106
0 days 00:07:25.767216,-140,-106
0 days 00:07:25.769994,-139,-109
0 days 00:07:25.772772,-141,-108
0 days 00:07:25.775550,-144,-114
0 days 00:07:25.778328,-143,-115
0 days 00:07:25.781106,-142,-119
0 days 00:07:25.783884,-140,-119
0 days 00:07:25.786662,-140,-116
0 days 00:07:25.789440,-141,-113
0 days 00:07:25.792218,-139,-109
0 days 00:07:25.794996,-141,-106
0 days 00:07:25.797774,-142,-102
0 days 00:07:25.800552,-142,-107
0 days 00:07:25.803330,-142,-108
0 days 00:07:25.806108,-141,-109
0 days 00:07:25.808886,-142,-109
0 days 00:07:25.811664,-141,-111
0 days 00:07:25.814442,-139,-109
0 days 00:07:25.817220,-139,-114
0 days 00:07:25.819998,-137,-113
0 days 00:07:25.822776,-139,-113
0 days 00:07:25.825554,-139,-115
0 days 00:07:25.828332,-135,-114
0 days 00:07:25.831110,-137,-111
0 days 00:07:25.833888,-137,-113
0 days 00:07:25.836666,-138,-115
0 days 00:07:25.839444,-133,-119
0 days 00:07:25.842222,-143,-116
0 days 00:07:25.845000,-142,-118
0 days 00:07:25.847778,-139,-118
0 days 00:07:25.850556,-138,-118
0 days 00:07:25.853334,-133,-118
0 days 00:07:25.856112,-133,-110
0 days 00:07:25.858890,-131,-115
0 days 00:07:25.861668,-126,-111
0 days 00:07:25.864446,-125,-111
0 days 00:07:25.867224,-121,-114
0 days 00:07:25.870002,-119,-122
0 days 00:07:25.872780,-113,-129
0 days 00:07:25.875558,-114,-129
0 days 00:07:25.878336,-116,-136
0 days 00:07:25.881114,-117,-139
0 days 00:07:25.883892,-115,-138
0 days 00:07:25.886670,-109,-133
0 days 00:07:25.889448,-104,-124
0 days 00:07:25.892226,-100,-119
0 days 00:07:25.895004,-93,-112
0 days 00:07:25.897782,-83,-106
0 days 00:07:25.900560,-82,-106
0 days 00:07:25.903338,-83,-102
0 days 00:07:25.906116,-84,-103
0 days 00:07:25.908894,-92,-108
0 days 00:07:25.911672,-95,-113
0 days 00:07:25.914450,-105,-114
0 days 00:07:25.917228,-111,-114
0 days 00:07:25.920006,-111,-117
0 days 00:07:25.922784,-109,-110
0 days 00:07:25.925562,-102,-105
0 days 00:07:25.928340,-96,-99
0 days 00:07:25.931118,-88,-86
0 days 00:07:25.933896,-83,-79
0 days 00:07:25.936674,-84,-70
0 days 00:07:25.939452,-82,-70
0 days 00:07:25.942230,-93,-70
0 days 00:07:25.945008,-100,-81
0 days 00:07:25.947786,-108,-92
0 days 00:07:25.950564,-118,-102
0 days 00:07:25.953342,-123,-109
0 days 00:07:25.956120,-129,-112
0 days 00:07:25.958898,-130,-109
0 days 00:07:25.961676,-132,-106
0 days 00:07:25.964454,-135,-102
0 days 00:07:25.967232,-138,-105
0 days 00:07:25.970010,-143,-107
0 days 00:07:25.972788,-144,-111
0 days 00:07:25.975566,-151,-120
0 days 00:07:25.978344,-151,-123
0 days 00:07:25.981122,-152,-126
0 days 00:07:25.983900,-158,-126
0 days 00:07:25.986678,-154,-124
0 days 00:07:25.989456,-155,-121
0 days 00:07:25.992234,-151,-120
0 days 00:07:25.995012,-151,-121
0 days 00:07:25.997790,-148,-120
0 days 00:07:26.000568,-146,-121
0 days 00:07:26.003346,-147,-124
0 days 00:07:26.006124,-151,-127
0 days 00:07:26.008902,-157,-130
0 days 00:07:26.011680,-154,-129
0 days 00:07:26.014458,-157,-125
0 days 00:07:26.017236,-156,-124
0 days 00:07:26.020014,-154,-122
0 days 00:07:26.022792,-153,-118
0 days 00:07:26.025570,-154,-118
0 days 00:07:26.028348,-155,-119
0 days 00:07:26.031126,-153,-117
0 days 00:07:26.033904,-153,-121
0 days 00:07:26.036682,-153,-119
0 days 00:07:26.039460,-152,-120
0 days 00:07:26.042238,-150,-127
0 days 00:07:26.045016,-148,-127
0 days 00:07:26.047794,-154,-132
0 days 00:07:26.050572,-154,-136
0 days 00:07:26.053350,-153,-134
0 days 00:07:26.056128,-157,-131
0 days 00:07:26.058906,-157,-134
0 days 00:07:26.061684,-157,-137
0 days 00:07:26.064462,-157,-138
0 days 00:07:26.067240,-158,-154
0 days 00:07:26.070018,-153,-165
0 days 00:07:26.072796,-149,-186
0 days 00:07:26.075574,-136,-214
0 days 00:07:26.078352,-115,-240
0 days 00:07:26.081130,-84,-275
0 days 00:07:26.083908,-49,-308
0 days 00:07:26.086686,-9,-329
0 days 00:07:26.089464,22,-340
0 days 00:07:26.092242,42,-332
0 days 00:07:26.095020,44,-313
0 days 00:07:26.097798,37,-288
0 days 00:07:26.100576,38,-264
0 days 00:07:26.103354,43,-237
0 days 00:07:26.106132,70,-213
0 days 00:07:26.108910,106,-176
0 days 00:07:26.111688,143,-118
0 days 00:07:26.114466,165,-46
0 days 00:07:26.117244,161,33
0 days 00:07:26.120022,116,90
0 days 00:07:26.122800,30,106
0 days 00:07:26.125578,-84,85
0 days 00:07:26.128356,-201,30
0 days 00:07:26.131134,-295,-35
0 days 00:07:26.133912,-360,-101
0 days 00:07:26.136690,-398,-141
0 days 00:07:26.139468,-413,-164
0 days 00:07:26.142246,-417,-173
0 days 00:07:26.145024,-424,-180
0 days 00:07:26.147802,-431,-183
0 days 00:07:26.150580,-437,-198
0 days 00:07:26.153358,-442,-200
0 days 00:07:26.156136,-444,-204
0 days 00:07:26.158914,-446,-207
0 days 00:07:26.161692,-446,-201
0 days 00:07:26.164470,-441,-193
0 days 00:07:26.167248,-433,-187
0 days 00:07:26.170026,-426,-187
0 days 00:07:26.172804,-420,-191
0 days 00:07:26.175582,-409,-196
0 days 00:07:26.178360,-395,-199
0 days 00:07:26.181138,-380,-201
0 days 00:07:26.183916,-349,-191
0 days 00:07:26.186694,-315,-178
0 days 00:07:26.189472,-281,-162
0 days 00:07:26.192250,-248,-145
0 days 00:07:26.195028,-223,-128
0 days 00:07:26.197806,-202,-113
0 days 00:07:26.200584,-191,-107
0 days 00:07:26.203362,-182,-105
0 days 00:07:26.206140,-177,-103
0 days 00:07:26.208918,-176,-110
0 days 00:07:26.211696,-174,-113
0 days 00:07:26.214474,-172,-112
0 days 00:07:26.217252,-172,-113
0 days 00:07:26.220030,-169,-110
0 days 00:07:26.222808,-161,-108
0 days 00:07:26.225586,-161,-105
0 days 00:07:26.228364,-158,-104
0 days 00:07:26.231142,-158,-107
0 days 00:07:26.233920,-160,-107
0 days 00:07:26.236698,-157,-112
0 days 00:07:26.239476,-157,-111
0 days 00:07:26.242254,-158,-113
0 days 00:07:26.245032,-159,-114
0 days 00:07:26.247810,-165,-115
0 days 00:07:26.250588,-166,-118
0 days 00:07:26.253366,-167,-120
0 days 00:07:26.256144,-163,-121
0 days 00:07:26.258922,-161,-120
0 days 00:07:26.261700,-161,-127
0 days 00:07:26.264478,-159,-124
0 days 00:07:26.267256,-160,-127
0 days 00:07:26.270034,-161,-129
0 days 00:07:26.272812,-164,-134
0 days 00:07:26.275590,-166,-141
0 days 00:07:26.278368,-171,-147
0 days 00:07:26.281146,-178,-154
0 days 00:07:26.283924,-181,-156
0 days 00:07:26.286702,-181,-162
0 days 00:07:26.289480,-184,-166
0 days 00:07:26.292258,-186,-167
0 days 00:07:26.295036,-184,-170
0 days 00:07:26.297814,-186,-169
0 days 00:07:26.300592,-185,-169
0 days 00:07:26.303370,-189,-172
0 days 00:07:26.306148,-193,-175
0 days 00:07:26.308926,-199,-176
0 days 00:07:26.311704,-200,-177
0 days 00:07:26.314482,-206,-180
0 days 00:07:26.317260,-204,-182
0 days 00:07:26.320038,-207,-185
0 days 00:07:26.322816,-206,-187
0 days 00:07:26.325594,-212,-187
0 days 00:07:26.328372,-212,-185
0 days 00:07:26.331150,-210,-189
0 days 00:07:26.333928,-209,-192
0 days 00:07:26.336706,-215,-194
0 days 00:07:26.339484,-217,-199
0 days 00:07:26.342262,-219,-206
0 days 00:07:26.345040,-218,-210
0 days 00:07:26.347818,-217,-210
0 days 00:07:26.350596,-217,-213
0 days 00:07:26.353374,-218,-214
0 days 00:07:26.356152,-217,-206
0 days 00:07:26.358930,-214,-209
0 days 00:07:26.361708,-212,-206
0 days 00:07:26.364486,-209,-209
0 days 00:07:26.367264,-206,-208
0 days 00:07:26.370042,-205,-209
0 days 00:07:26.372820,-207,-211
0 days 00:07:26.375598,-199,-209
0 days 00:07:26.378376,-201,-209
0 days 00:07:26.381154,-200,-203
0 days 00:07:26.383932,-195,-199
0 days 00:07:26.386710,-187,-196
0 days 00:07:26.389488,-184,-189
0 days 00:07:26.392266,-176,-182
0 days 00:07:26.395044,-170,-179
0 days 00:07:26.397822,-165,-178
0 days 00:07:26.400600,-165,-173
0 days 00:07:26.403378,-162,-175
0 days 00:07:26.406156,-163,-173
0 days 00:07:26.408934,-157,-175
0 days 00:07:26.411712,-157,-171
0 days 00:07:26.414490,-156,-169
0 days 00:07:26.417268,-153,-166
0 days 00:07:26.420046,-152,-160
0 days 00:07:26.422824,-150,-153
0 days 00:07:26.425602,-147,-150
0 days 00:07:26.428380,-143,-146
0 days 00:07:26.431158,-140,-144
0 days 00:07:26.433936,-137,-146
0 days 00:07:26.436714,-133,-148
0 days 00:07:26.439492,-132,-147
0 days 00:07:26.442270,-129,-148
0 days 00:07:26.445048,-129,-150
0 days 00:07:26.447826,-131,-148
0 days 00:07:26.450604,-130,-145
0 days 00:07:26.453382,-131,-142
0 days 00:07:26.456160,-131,-138
0 days 00:07:26.458938,-128,-136
0 days 00:07:26.461716,-128,-129
0 days 00:07:26.464494,-127,-125
0 days 00:07:26.467272,-126,-122
0 days 00:07:26.470050,-126,-121
0 days 00:07:26.472828,-127,-124
0 days 00:07:26.475606,-126,-127
0 days 00:07:26.478384,-129,-128
0 days 00:07:26.481162,-133,-130
0 days 00:07:26.483940,-131,-134
0 days 00:07:26.486718,-133,-133
0 days 00:07:26.489496,-136,-131
0 days 00:07:26.492274,-136,-128
0 days 00:07:26.495052,-134,-123
0 days 00:07:26.497830,-132,-121
0 days 00:07:26.500608,-130,-122
0 days 00:07:26.503386,-129,-126
0 days 00:07:26.506164,-130,-129
0 days 00:07:26.508942,-132,-133
0 days 00:07:26.511720,-133,-134
0 days 00:07:26.514498,-137,-133
0 days 00:07:26.517276,-137,-131
0 days 00:07:26.520054,-139,-129
0 days 00:07:26.522832,-141,-131
0 days 00:07:26.525610,-138,-125
0 days 00:07:26.528388,-136,-119
0 days 00:07:26.531166,-136,-116
0 days 00:07:26.533944,-128,-118
0 days 00:07:26.536722,-134,-123
0 days 00:07:26.539500,-135,-124
0 days 00:07:26.542278,-139,-129
0 days 00:07:26.545056,-137,-132
0 days 00:07:26.547834,-142,-133
0 days 00:07:26.550612,-143,-136
0 days 00:07:26.553390,-142,-131
0 days 00:07:26.556168,-142,-133
0 days 00:07:26.558946,-138,-131
0 days 00:07:26.561724,-139,-129
0 days 00:07:26.564502,-139,-123
0 days 00:07:26.567280,-139,-127
0 days 00:07:26.570058,-137,-128
0 days 00:07:26.572836,-135,-130
0 days 00:07:26.575614,-138,-134
0 days 00:07:26.578392,-141,-136
0 days 00:07:26.581170,-141,-144
0 days 00:07:26.583948,-147,-144
0 days 00:07:26.586726,-145,-140
0 days 00:07:26.589504,-143,-138
0 days 00:07:26.592282,-136,-131
0 days 00:07:26.595060,-135,-129
0 days 00:07:26.597838,-132,-129
0 days 00:07:26.600616,-136,-130
0 days 00:07:26.603394,-138,-132
0 days 00:07:26.606172,-137,-133
0 days 00:07:26.608950,-138,-133
0 days 00:07:26.611728,-138,-134
0 days 00:07:26.614506,-138,-137
0 days 00:07:26.617284,-137,-135
0 days 00:07:26.620062,-141,-136
0 days 00:07:26.622840,-141,-135
0 days 00:07:26.625618,-140,-131
0 days 00:07:26.628396,-140,-135
0 days 00:07:26.631174,-139,-129
0 days 00:07:26.633952,-137,-127
0 days 00:07:26.636730,-134,-125
0 days 00:07:26.639508,-134,-128
0 days 00:07:26.642286,-136,-129
0 days 00:07:26.645064,-138,-135
0 days 00:07:26.647842,-139,-138
0 days 00:07:26.650620,-140,-140
0 days 00:07:26.653398,-136,-136
0 days 00:07:26.656176,-138,-133
0 days 00:07:26.658954,-138,-127
0 days 00:07:26.661732,-137,-129
0 days 00:07:26.664510,-135,-125
0 days 00:07:26.667288,-136,-124
0 days 00:07:26.670066,-137,-123
0 days 00:07:26.672844,-136,-126
0 days 00:07:26.675622,-137,-130
0 days 00:07:26.678400,-139,-128
0 days 00:07:26.681178,-140,-135
0 days 00:07:26.683956,-137,-134
0 days 00:07:26.686734,-136,-135
0 days 00:07:26.689512,-132,-137
0 days 00:07:26.692290,-132,-135
0 days 00:07:26.695068,-134,-131
0 days 00:07:26.697846,-130,-127
0 days 00:07:26.700624,-131,-127
0 days 00:07:26.703402,-124,-126
0 days 00:07:26.706180,-126,-123
0 days 00:07:26.708958,-123,-124
0 days 00:07:26.711736,-122,-129
0 days 00:07:26.714514,-124,-134
0 days 00:07:26.717292,-123,-136
0 days 00:07:26.720070,-121,-138
0 days 00:07:26.722848,-120,-138
0 days 00:07:26.725626,-115,-142
0 days 00:07:26.728404,-110,-143
0 days 00:07:26.731182,-110,-147
0 days 00:07:26.733960,-104,-151
0 days 00:07:26.736738,-100,-147
0 days 00:07:26.739516,-96,-148
0 days 00:07:26.742294,-90,-145
0 days 00:07:26.745072,-86,-137
0 days 00:07:26.747850,-84,-135
0 days 00:07:26.750628,-84,-130
0 days 00:07:26.753406,-89,-122
0 days 00:07:26.756184,-94,-118
0 days 00:07:26.758962,-91,-114
0 days 00:07:26.761740,-92,-112
0 days 00:07:26.764518,-90,-113
0 days 00:07:26.767296,-98,-116
0 days 00:07:26.770074,-102,-121
0 days 00:07:26.772852,-102,-122
0 days 00:07:26.775630,-101,-120
0 days 00:07:26.778408,-98,-116
0 days 00:07:26.781186,-91,-111
0 days 00:07:26.783964,-85,-106
0 days 00:07:26.786742,-81,-102
0 days 00:07:26.789520,-81,-99
0 days 00:07:26.792298,-83,-97
0 days 00:07:26.795076,-94,-99
0 days 00:07:26.797854,-104,-104
0 days 00:07:26.800632,-111,-112
0 days 00:07:26.803410,-122,-117
0 days 00:07:26.806188,-124,-124
0 days 00:07:26.808966,-131,-124
0 days 00:07:26.811744,-133,-119
0 days 00:07:26.814522,-137,-118
0 days 00:07:26.817300,-140,-114
0 days 00:07:26.820078,-143,-114
0 days 00:07:26.822856,-143,-114
0 days 00:07:26.825634,-142,-119
0 days 00:07:26.828412,-141,-121
0 days 00:07:26.831190,-141,-121
0 days 00:07:26.833968,-140,-125
0 days 00:07:26.836746,-141,-133
0 days 00:07:26.839524,-142,-129
0 days 00:07:26.842302,-145,-131
0 days 00:07:26.845080,-145,-135
0 days 00:07:26.847858,-151,-132
0 days 00:07:26.850636,-152,-132
0 days 00:07:26.853414,-156,-128
0 days 00:07:26.856192,-153,-127
0 days 00:07:26.858970,-150,-130
0 days 00:07:26.861748,-147,-134
0 days 00:07:26.864526,-144,-132
0 days 00:07:26.867304,-148,-138
0 days 00:07:26.870082,-149,-140
0 days 00:07:26.872860,-151,-142
0 days 00:07:26.875638,-150,-140
0 days 00:07:26.878416,-151,-142
0 days 00:07:26.881194,-151,-139
0 days 00:07:26.883972,-151,-141
0 days 00:07:26.886750,-152,-140
0 days 00:07:26.889528,-153,-135
0 days 00:07:26.892306,-152,-132
0 days 00:07:26.895084,-151,-130
0 days 00:07:26.897862,-148,-127
0 days 00:07:26.900640,-144,-131
0 days 00:07:26.903418,-146,-134
0 days 00:07:26.906196,-146,-137
0 days 00:07:26.908974,-146,-143
0 days 00:07:26.911752,-145,-144
0 days 00:07:26.914530,-147,-154
0 days 00:07:26.917308,-149,-168
0 days 00:07:26.920086,-152,-177
0 days 00:07:26.922864,-151,-198
0 days 00:07:26.925642,-136,-222
0 days 00:07:26.928420,-115,-253
0 days 00:07:26.931198,-78,-286
0 days 00:07:26.933976,-41,-322
0 days 00:07:26.936754,1,-344
0 days 00:07:26.939532,31,-358
0 days 00:07:26.942310,43,-351
0 days 00:07:26.945088,43,-332
0 days 00:07:26.947866,35,-302
0 days 00:07:26.950644,38,-273
0 days 00:07:26.953422,56,-241
0 days 00:07:26.956200,88,-200
0 days 00:07:26.958978,133,-149
0 days 00:07:26.961756,170,-80
0 days 00:07:26.964534,182,-9
0 days 00:07:26.967312,152,58
0 days 00:07:26.970090,72,89
0 days 00:07:26.972868,-42,82
0 days 00:07:26.975646,-170,34
0 days 00:07:26.978424,-282,-33
0 days 00:07:26.981202,-363,-97
0 days 00:07:26.983980,-405,-144
0 days 00:07:26.986758,-425,-167
0 days 00:07:26.989536,-433,-181
0 days 00:07:26.992314,-431,-185
0 days 00:07:26.995092,-431,-193
0 days 00:07:26.997870,-434,-197
0 days 00:07:27.000648,-439,-203
0 days 00:07:27.003426,-441,-202
0 days 00:07:27.006204,-440,-204
0 days 00:07:27.008982,-440,-199
0 days 00:07:27.011760,-437,-200
0 days 00:07:27.014538,-433,-203
0 days 00:07:27.017316,-432,-204
0 days 00:07:27.020094,-422,-205
0 days 00:07:27.022872,-407,-206
0 days 00:07:27.025650,-389,-210
0 days 00:07:27.028428,-361,-199
0 days 00:07:27.031206,-331,-191
0 days 00:07:27.033984,-295,-178
0 days 00:07:27.036762,-262,-162
0 days 00:07:27.039540,-235,-151
0 days 00:07:27.042318,-214,-141
0 days 00:07:27.045096,-199,-130
0 days 00:07:27.047874,-191,-126
0 days 00:07:27.050652,-187,-119
0 days 00:07:27.053430,-181,-117
0 days 00:07:27.056208,-176,-118
0 days 00:07:27.058986,-163,-120
0 days 00:07:27.061764,-158,-120
0 days 00:07:27.064542,-156,-119
0 days 00:07:27.067320,-157,-111
0 days 00:07:27.070098,-157,-109
0 days 00:07:27.072876,-156,-107
0 days 00:07:27.075654,-158,-107
0 days 00:07:27.078432,-157,-115
0 days 00:07:27.081210,-157,-116
0 days 00:07:27.083988,-155,-121
0 days 00:07:27.086766,-151,-122
0 days 00:07:27.089544,-152,-123
0 days 00:07:27.092322,-152,-122
0 days 00:07:27.095100,-150,-117
0 days 00:07:27.097878,-152,-116
0 days 00:07:27.100656,-153,-118
0 days 00:07:27.103434,-154,-121
0 days 00:07:27.106212,-159,-128
0 days 00:07:27.108990,-163,-134
0 days 00:07:27.111768,-163,-137
0 days 00:07:27.114546,-164,-142
0 days 00:07:27.117324,-169,-144
0 days 00:07:27.120102,-173,-144
0 days 00:07:27.122880,-174,-146
0 days 00:07:27.125658,-172,-144
0 days 00:07:27.128436,-172,-150
0 days 00:07:27.131214,-169,-150
0 days 00:07:27.133992,-168,-159
0 days 00:07:27.136770,-172,-164
0 days 00:07:27.139548,-177,-169
0 days 00:07:27.142326,-181,-172
0 days 00:07:27.145104,-185,-172
0 days 00:07:27.147882,-191,-175
0 days 00:07:27.150660,-192,-181
0 days 00:07:27.153438,-193,-186
0 days 00:07:27.156216,-196,-189
0 days 00:07:27.158994,-197,-190
0 days 00:07:27.161772,-196,-194
0 days 00:07:27.164550,-195,-193
0 days 00:07:27.167328,-194,-196
0 days 00:07:27.170106,-195,-196
0 days 00:07:27.172884,-197,-200
0 days 00:07:27.175662,-199,-203
0 days 00:07:27.178440,-205,-207
0 days 00:07:27.181218,-210,-212
0 days 00:07:27.183996,-212,-209
0 days 00:07:27.186774,-212,-208
0 days 00:07:27.189552,-213,-203
0 days 00:07:27.192330,-210,-201
0 days 00:07:27.195108,-209,-201
0 days 00:07:27.197886,-206,-202
0 days 00:07:27.200664,-207,-205
0 days 00:07:27.203442,-207,-210
0 days 00:07:27.206220,-205,-214
0 days 00:07:27.208998,-205,-216
0 days 00:07:27.211776,-202,-221
0 days 00:07:27.214554,-202,-218
0 days 00:07:27.217332,-201,-215
0 days 00:07:27.220110,-200,-212
0 days 00:07:27.222888,-192,-206
0 days 00:07:27.225666,-187,-199
0 days 00:07:27.228444,-184,-196
0 days 00:07:27.231222,-178,-189
0 days 00:07:27.234000,-169,-190
0 days 00:07:27.236778,-164,-181
0 days 00:07:27.239556,-162,-179
0 days 00:07:27.242334,-158,-179
0 days 00:07:27.245112,-154,-176
0 days 00:07:27.247890,-152,-171
0 days 00:07:27.250668,-150,-165
0 days 00:07:27.253446,-150,-164
0 days 00:07:27.256224,-147,-156
0 days 00:07:27.259002,-147,-152
0 days 00:07:27.261780,-143,-149
0 days 00:07:27.264558,-141,-147
0 days 00:07:27.267336,-136,-148
0 days 00:07:27.270114,-134,-149
0 days 00:07:27.272892,-135,-151
0 days 00:07:27.275670,-133,-157
0 days 00:07:27.278448,-134,-151
0 days 00:07:27.281226,-134,-154
0 days 00:07:27.284004,-131,-152
0 days 00:07:27.286782,-133,-147
0 days 00:07:27.289560,-129,-143
0 days 00:07:27.292338,-126,-136
0 days 00:07:27.295116,-124,-134
0 days 00:07:27.297894,-122,-131
0 days 00:07:27.300672,-120,-129
0 days 00:07:27.303450,-123,-129
0 days 00:07:27.306228,-127,-132
0 days 00:07:27.309006,-128,-130
0 days 00:07:27.311784,-131,-127
0 days 00:07:27.314562,-133,-127
0 days 00:07:27.317340,-133,-127
0 days 00:07:27.320118,-126,-126
0 days 00:07:27.322896,-126,-124
0 days 00:07:27.325674,-126,-122
0 days 00:07:27.328452,-124,-124
0 days 00:07:27.331230,-125,-120
0 days 00:07:27.334008,-126,-124
0 days 00:07:27.336786,-126,-129
0 days 00:07:27.339564,-128,-131
0 days 00:07:27.342342,-128,-138
0 days 00:07:27.345120,-134,-136
0 days 00:07:27.347898,-137,-134
0 days 00:07:27.350676,-139,-133
0 days 00:07:27.353454,-137,-128
0 days 00:07:27.356232,-138,-125
0 days 00:07:27.359010,-133,-124
0 days 00:07:27.361788,-134,-124
0 days 00:07:27.364566,-128,-122
0 days 00:07:27.367344,-126,-121
0 days 00:07:27.370122,-124,-120
0 days 00:07:27.372900,-127,-123
0 days 00:07:27.375678,-133,-125
0 days 00:07:27.378456,-135,-130
0 days 00:07:27.381234,-137,-132
0 days 00:07:27.384012,-139,-137
0 days 00:07:27.386790,-140,-135
0 days 00:07:27.389568,-139,-132
0 days 00:07:27.392346,-136,-127
0 days 00:07:27.395124,-135,-123
0 days 00:07:27.397902,-139,-119
0 days 00:07:27.400680,-135,-119
0 days 00:07:27.403458,-136,-120
0 days 00:07:27.406236,-134,-122
0 days 00:07:27.409014,-134,-127
0 days 00:07:27.411792,-137,-128
0 days 00:07:27.414570,-136,-136
0 days 00:07:27.417348,-141,-133
0 days 00:07:27.420126,-137,-134
0 days 00:07:27.422904,-136,-130
0 days 00:07:27.425682,-135,-131
0 days 00:07:27.428460,-136,-131
0 days 00:07:27.431238,-133,-127
0 days 00:07:27.434016,-130,-129
0 days 00:07:27.436794,-126,-129
0 days 00:07:27.439572,-129,-125
0 days 00:07:27.442350,-129,-127
0 days 00:07:27.445128,-132,-125
0 days 00:07:27.447906,-134,-132
0 days 00:07:27.450684,-135,-131
0 days 00:07:27.453462,-139,-131
0 days 00:07:27.456240,-137,-132
0 days 00:07:27.459018,-133,-129
0 days 00:07:27.461796,-130,-127
0 days 00:07:27.464574,-124,-121
0 days 00:07:27.467352,-122,-122
0 days 00:07:27.470130,-127,-126
0 days 00:07:27.472908,-129,-131
0 days 00:07:27.475686,-134,-135
0 days 00:07:27.478464,-135,-136
0 days 00:07:27.481242,-135,-138
0 days 00:07:27.484020,-133,-131
0 days 00:07:27.486798,-130,-126
0 days 00:07:27.489576,-129,-120
0 days 00:07:27.492354,-126,-118
0 days 00:07:27.495132,-125,-119
0 days 00:07:27.497910,-123,-119
0 days 00:07:27.500688,-124,-124
0 days 00:07:27.503466,-127,-127
0 days 00:07:27.506244,-125,-130
0 days 00:07:27.509022,-126,-125
0 days 00:07:27.511800,-130,-123
0 days 00:07:27.514578,-129,-122
0 days 00:07:27.517356,-125,-117
0 days 00:07:27.520134,-126,-117
0 days 00:07:27.522912,-126,-119
0 days 00:07:27.525690,-123,-117
0 days 00:07:27.528468,-126,-120
0 days 00:07:27.531246,-126,-120
0 days 00:07:27.534024,-122,-126
0 days 00:07:27.536802,-127,-123
0 days 00:07:27.539580,-127,-120
0 days 00:07:27.542358,-126,-125
0 days 00:07:27.545136,-117,-125
0 days 00:07:27.547914,-117,-126
0 days 00:07:27.550692,-114,-124
0 days 00:07:27.553470,-116,-124
0 days 00:07:27.556248,-113,-128
0 days 00:07:27.559026,-111,-126
0 days 00:07:27.561804,-110,-125
0 days 00:07:27.564582,-106,-124
0 days 00:07:27.567360,-103,-131
0 days 00:07:27.570138,-102,-134
0 days 00:07:27.572916,-99,-136
0 days 00:07:27.575694,-104,-139
0 days 00:07:27.578472,-97,-138
0 days 00:07:27.581250,-95,-133
0 days 00:07:27.584028,-92,-129
0 days 00:07:27.586806,-85,-125
0 days 00:07:27.589584,-78,-116
0 days 00:07:27.592362,-74,-107
0 days 00:07:27.595140,-72,-105
0 days 00:07:27.597918,-72,-102
0 days 00:07:27.600696,-80,-104
0 days 00:07:27.603474,-88,-114
0 days 00:07:27.606252,-93,-117
0 days 00:07:27.609030,-100,-122
0 days 00:07:27.611808,-100,-127
0 days 00:07:27.614586,-98,-120
0 days 00:07:27.617364,-96,-115
0 days 00:07:27.620142,-86,-103
0 days 00:07:27.622920,-78,-92
0 days 00:07:27.625698,-74,-84
0 days 00:07:27.628476,-71,-78
0 days 00:07:27.631254,-75,-78
0 days 00:07:27.634032,-83,-82
0 days 00:07:27.636810,-91,-92
0 days 00:07:27.639588,-102,-104
0 days 00:07:27.642366,-109,-111
0 days 00:07:27.645144,-116,-117
0 days 00:07:27.647922,-122,-123
0 days 00:07:27.650700,-125,-121
0 days 00:07:27.653478,-127,-115
0 days 00:07:27.656256,-129,-107
0 days 00:07:27.659034,-133,-100
0 days 00:07:27.661812,-131,-99
0 days 00:07:27.664590,-133,-100
0 days 00:07:27.667368,-128,-107
0 days 00:07:27.670146,-128,-114
0 days 00:07:27.672924,-130,-118
0 days 00:07:27.675702,-134,-123
0 days 00:07:27.678480,-139,-119
0 days 00:07:27.681258,-142,-121
0 days 00:07:27.684036,-143,-121
0 days 00:07:27.686814,-145,-121
0 days 00:07:27.689592,-145,-117
0 days 00:07:27.692370,-144,-116
0 days 00:07:27.695148,-146,-114
0 days 00:07:27.697926,-141,-115
0 days 00:07:27.700704,-138,-118
0 days 00:07:27.703482,-140,-120
0 days 00:07:27.706260,-142,-120
0 days 00:07:27.709038,-141,-120
0 days 00:07:27.711816,-143,-123
0 days 00:07:27.714594,-145,-123
0 days 00:07:27.717372,-144,-126
0 days 00:07:27.720150,-149,-123
0 days 00:07:27.722928,-146,-124
